Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
30,25,2021-12-22,26-306,DEN,@,OKC,L (-14),1,24:52,5,9,.556,1,4,.250,2,2,1.000,0,7,7,3,0,2,3,0,13,11.3,-15
31,26,2021-12-23,26-307,DEN,,CHO,L (-8),1,35:07,13,34,.382,1,6,.167,2,3,.667,6,15,21,5,2,0,6,0,29,18.2,+2
32,27,2021-12-26,26-310,DEN,@,LAC,W (+3),1,37:30,9,24,.375,1,3,.333,7,7,1.000,6,16,22,8,2,2,4,4,26,25.2,-7
33,28,2021-12-28,26-312,DEN,@,GSW,W (+3),1,35:19,8,19,.421,0,5,.000,6,8,.750,5,14,19,5,4,1,8,2,22,18.2,+6
34,29,2022-01-01,26-316,DEN,@,HOU,W (+13),1,25:09,8,12,.667,1,2,.500,7,9,.778,1,10,11,3,0,1,4,4,24,18.9,+7
35,30,2022-01-03,26-318,DEN,@,DAL,L (-14),1,34:44,11,18,.611,1,4,.250,4,4,1.000,4,12,16,3,2,0,3,3,27,25.1,-6
36,31,2022-01-05,26-320,DEN,,UTA,L (-6),1,37:14,10,17,.588,1,3,.333,5,6,.833,2,19,21,11,0,2,5,2,26,28.1,-1
37,32,2022-01-07,26-322,DEN,,SAC,W (+10),1,33:37,13,20,.650,3,6,.500,4,8,.500,1,9,10,7,2,2,2,3,33,31.1,0
38,33,2022-01-09,26-324,DEN,@,OKC,W (+4),1,32:43,8,21,.381,1,3,.333,5,5,1.000,8,10,18,6,1,0,2,0,22,22.3,+10
39,34,2022-01-11,26-326,DEN,@,LAC,L (-2),1,36:38,9,14,.643,1,3,.333,2,2,1.000,5,8,13,8,1,0,5,2,21,21.5,+6
40,35,2022-01-13,26-328,DEN,,POR,W (+32),1,28:26,8,10,.800,1,2,.500,3,3,1.000,0,8,8,7,0,2,3,2,20,21.1,+18
41,36,2022-01-15,26-330,DEN,,LAL,W (+37),1,28:10,7,12,.583,1,2,.500,2,2,1.000,2,10,12,13,1,0,3,1,17,22.5,+16
42,37,2022-01-16,26-331,DEN,,UTA,L (-23),1,36:44,10,18,.556,2,5,.400,3,3,1.000,3,12,15,14,2,0,3,5,25,28.9,+5
43,38,2022-01-19,26-334,DEN,,LAC,W (+2),1,41:16,16,25,.640,3,5,.600,14,16,.875,7,7,14,10,3,1,5,4,49,48.2,+15
44,39,2022-01-21,26-336,DEN,,MEM,L (-4),1,40:11,11,16,.688,2,4,.500,2,3,.667,3,8,11,12,2,1,0,3,26,33.2,0
45,40,2022-01-23,26-338,DEN,,DET,W (+6),1,36:06,12,19,.632,1,6,.167,9,10,.900,2,7,9,8,2,1,3,1,34,33.5,+12
46,41,2022-01-25,26-340,DEN,@,DET,W (+5),1,33:55,9,20,.450,3,8,.375,7,7,1.000,3,18,21,9,1,0,3,2,28,28.6,+14
47,42,2022-01-26,26-341,DEN,@,BRK,W (+6),1,35:10,8,13,.615,2,2,1.000,8,8,1.000,2,8,10,8,1,0,2,5,26,26.5,+6
48,43,2022-01-28,26-343,DEN,@,NOP,W (+11),1,30:18,11,19,.579,3,6,.500,4,4,1.000,3,10,13,10,2,0,6,5,29,26.2,+15
49,44,2022-01-30,26-345,DEN,@,MIL,W (+36),1,28:14,7,9,.778,2,4,.500,2,2,1.000,0,10,10,15,3,1,5,1,18,26.3,+24
50,45,2022-02-01,26-347,DEN,@,MIN,L (-15),1,30:23,6,12,.500,1,4,.250,8,9,.889,2,14,16,8,1,0,5,3,21,20.6,-7
51,,2022-02-02,26-348,DEN,@,UTA,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,46,2022-02-04,26-350,DEN,,NOP,L (-8),1,34:48,7,10,.700,3,3,1.000,8,8,1.000,2,10,12,9,2,0,4,4,25,27.9,-6
53,47,2022-02-06,26-352,DEN,,BRK,W (+20),1,29:49,12,15,.800,0,2,.000,3,4,.750,1,11,12,10,2,1,2,1,27,32.2,+27
54,48,2022-02-08,26-354,DEN,,NYK,W (+17),1,30:24,8,14,.571,0,3,.000,5,7,.714,3,8,11,7,0,0,6,2,21,16.2,+1
55,49,2022-02-11,26-357,DEN,@,BOS,L (-6),1,34:21,9,20,.450,3,10,.300,2,4,.500,5,11,16,11,0,2,9,2,23,17.9,+3
56,50,2022-02-12,26-358,DEN,@,TOR,W (+1),1,34:59,10,16,.625,0,2,.000,8,10,.800,5,10,15,6,0,2,4,1,28,27.7,+3
57,51,2022-02-14,26-360,DEN,,ORL,W (+10),1,34:48,10,26,.385,3,9,.333,3,3,1.000,5,10,15,7,1,0,5,2,26,18.4,+7
58,52,2022-02-16,26-362,DEN,@,GSW,W (+1),1,34:21,13,24,.542,3,5,.600,6,9,.667,5,12,17,8,1,0,5,3,35,29.7,+6
59,53,2022-02-24,27-005,DEN,@,SAC,W (+18),1,34:21,9,15,.600,2,4,.500,5,7,.714,1,11,12,9,4,1,2,3,25,29.1,+17
60,54,2022-02-26,27-007,DEN,,SAC,W (+5),1,34:24,6,16,.375,0,5,.000,6,8,.750,2,8,10,11,0,0,2,5,18,15.9,-5
61,55,2022-02-27,27-008,DEN,@,POR,W (+32),1,26:08,3,5,.600,0,1,.000,2,2,1.000,1,17,18,11,1,0,2,2,8,17.4,+6
62,56,2022-03-02,27-011,DEN,,OKC,L (-12),1,32:47,10,17,.588,0,4,.000,2,2,1.000,4,12,16,4,2,0,6,2,22,18.5,-27
63,,2022-03-04,27-013,DEN,,HOU,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
