Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
70,58,2022-03-20,28-004,PHI,,TOR,L (-5),1,37:15,6,20,.300,0,3,.000,9,11,.818,1,12,13,2,1,1,1,3,21,13.8,+7
71,,2022-03-21,28-005,PHI,,MIA,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,59,2022-03-23,28-007,PHI,@,LAL,W (+5),1,34:19,11,19,.579,0,1,.000,8,12,.667,4,6,10,3,3,3,2,4,30,27.7,+2
73,60,2022-03-25,28-009,PHI,@,LAC,W (+25),1,27:54,9,19,.474,2,3,.667,7,8,.875,2,8,10,2,1,2,3,2,27,20.7,+23
74,61,2022-03-27,28-011,PHI,@,PHO,L (-10),1,37:35,14,27,.519,1,5,.200,8,12,.667,7,8,15,2,3,2,4,2,37,30.4,-15
75,62,2022-03-29,28-013,PHI,,MIL,L (-2),1,38:35,11,21,.524,3,5,.600,4,6,.667,1,13,14,7,1,0,4,2,29,23.6,+3
76,63,2022-03-31,28-015,PHI,@,DET,L (-8),1,36:33,11,19,.579,1,2,.500,14,16,.875,0,15,15,3,1,2,7,4,37,27.7,-1
77,64,2022-04-02,28-017,PHI,,CHO,W (+30),1,31:21,12,16,.750,1,3,.333,4,6,.667,2,12,14,6,0,0,4,2,29,26.2,+26
78,65,2022-04-03,28-018,PHI,@,CLE,W (+4),1,38:03,12,26,.462,3,6,.500,17,20,.850,4,13,17,3,1,5,3,1,44,39.3,+16
79,66,2022-04-05,28-020,PHI,@,IND,W (+9),1,38:39,18,30,.600,2,3,.667,7,10,.700,2,11,13,2,0,1,3,1,45,33.4,+20
80,67,2022-04-07,28-022,PHI,@,TOR,L (-5),1,37:20,10,22,.455,0,4,.000,10,12,.833,0,10,10,2,1,1,5,2,30,18.1,+8
81,68,2022-04-09,28-024,PHI,,IND,W (+13),1,36:58,14,17,.824,2,2,1.000,11,15,.733,5,15,20,4,2,1,5,4,41,40.0,+11
82,,2022-04-10,28-025,PHI,,DET,W (+12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
