Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
31,,2021-12-19,22-131,MEM,,POR,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,20,2021-12-20,22-132,MEM,,OKC,L (-3),1,28:02,6,12,.500,1,1,1.000,3,5,.600,1,5,6,8,2,1,4,2,16,14.9,+2
33,21,2021-12-23,22-135,MEM,@,GSW,L (-9),1,31:39,6,15,.400,0,4,.000,9,10,.900,0,3,3,6,1,0,3,1,21,15.2,-5
34,22,2021-12-26,22-138,MEM,@,SAC,W (+25),1,29:49,8,18,.444,0,3,.000,2,2,1.000,2,5,7,9,0,0,4,1,18,13.4,+27
35,23,2021-12-27,22-139,MEM,@,PHO,W (+1),1,33:42,14,25,.560,3,5,.600,2,4,.500,1,3,4,4,2,0,2,2,33,23.9,+15
36,24,2021-12-29,22-141,MEM,,LAL,W (+5),1,35:41,13,27,.481,6,7,.857,9,12,.750,3,7,10,2,2,2,6,4,41,27.5,+3
37,25,2021-12-31,22-143,MEM,,SAS,W (+13),1,32:05,12,18,.667,3,3,1.000,3,3,1.000,1,5,6,8,0,0,0,1,30,29.6,+15
38,26,2022-01-03,22-146,MEM,@,BRK,W (+14),1,33:34,14,22,.636,2,4,.500,6,10,.600,2,4,6,8,0,0,3,0,36,29.8,+24
39,27,2022-01-04,22-147,MEM,@,CLE,W (+4),1,33:40,9,21,.429,0,1,.000,8,9,.889,0,5,5,6,2,2,2,1,26,21.2,+5
40,28,2022-01-06,22-149,MEM,,DET,W (+30),1,24:36,10,19,.526,0,3,.000,2,2,1.000,3,6,9,6,0,1,5,0,22,16.5,+29
41,,2022-01-08,22-151,MEM,@,LAC,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,29,2022-01-09,22-152,MEM,@,LAL,W (+8),1,31:25,4,9,.444,0,2,.000,8,12,.667,0,4,4,7,1,1,3,0,16,14.5,+20
43,30,2022-01-11,22-154,MEM,,GSW,W (+8),1,36:56,11,23,.478,1,4,.250,6,8,.750,0,5,5,8,0,2,2,1,29,22.6,-1
44,31,2022-01-13,22-156,MEM,,MIN,W (+8),1,31:44,5,16,.313,0,7,.000,6,7,.857,3,5,8,9,0,0,4,3,16,11.1,+5
45,32,2022-01-14,22-157,MEM,,DAL,L (-27),1,31:33,8,15,.533,1,4,.250,2,3,.667,0,5,5,8,2,0,8,1,19,12.0,-4
46,33,2022-01-17,22-160,MEM,,CHI,W (+13),1,31:30,9,17,.529,1,3,.333,6,7,.857,1,3,4,3,1,0,2,1,25,18.6,+1
47,34,2022-01-19,22-162,MEM,@,MIL,L (-12),1,39:20,12,27,.444,4,10,.400,5,5,1.000,1,7,8,14,0,0,1,3,33,29.3,0
48,35,2022-01-21,22-164,MEM,@,DEN,W (+4),1,37:26,15,26,.577,2,6,.333,6,8,.750,3,3,6,6,2,0,6,1,38,27.8,-3
49,36,2022-01-23,22-166,MEM,@,DAL,L (-13),1,41:28,14,31,.452,0,3,.000,7,10,.700,7,6,13,6,1,0,7,4,35,21.0,-11
50,37,2022-01-26,22-169,MEM,@,SAS,W (+8),1,37:25,15,28,.536,3,5,.600,8,10,.800,1,4,5,8,2,0,1,0,41,35.1,+9
51,38,2022-01-28,22-171,MEM,,UTA,W (+10),1,36:03,10,22,.455,2,6,.333,8,13,.615,2,8,10,10,1,1,6,2,30,22.3,+9
52,39,2022-01-29,22-172,MEM,,WAS,W (+20),1,34:16,15,27,.556,4,8,.500,0,0,,1,2,3,2,1,0,1,1,34,23.4,+12
53,40,2022-01-31,22-174,MEM,@,PHI,L (-3),1,41:51,15,30,.500,0,5,.000,7,10,.700,0,5,5,5,1,0,9,3,37,16.6,-7
54,41,2022-02-02,22-176,MEM,@,NYK,W (+12),1,36:47,9,27,.333,0,6,.000,5,8,.625,2,2,4,9,3,0,2,0,23,15.8,+13
55,42,2022-02-05,22-179,MEM,@,ORL,W (+20),1,28:54,14,21,.667,1,3,.333,4,4,1.000,0,5,5,7,0,2,4,1,33,27.3,+22
56,43,2022-02-08,22-182,MEM,,LAC,W (+26),1,25:53,12,19,.632,1,2,.500,5,9,.556,2,5,7,5,1,0,5,3,30,21.1,+21
57,44,2022-02-10,22-184,MEM,@,DET,W (+25),1,30:04,7,17,.412,2,8,.250,7,9,.778,0,4,4,6,1,0,2,2,23,16.7,+15
58,45,2022-02-12,22-186,MEM,@,CHO,W (+7),1,33:46,12,21,.571,0,3,.000,2,6,.333,1,5,6,6,0,0,3,1,26,17.5,-1
