Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
70,58,2022-03-16,30-216,MIL,@,SAC,W (+9),1,33:59,10,20,.500,7,10,.700,5,5,1.000,0,8,8,8,2,1,3,2,32,28.9,+8
71,59,2022-03-19,30-219,MIL,@,MIN,L (-19),1,25:50,6,13,.462,3,7,.429,0,0,,1,6,7,5,1,0,3,2,15,11.5,-9
72,,2022-03-22,30-222,MIL,,CHI,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,,2022-03-24,30-224,MIL,,WAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,60,2022-03-26,30-226,MIL,@,MEM,L (-25),1,28:42,5,16,.313,1,4,.250,5,5,1.000,0,5,5,5,0,0,5,2,16,6.0,-10
75,61,2022-03-29,30-229,MIL,@,PHI,W (+2),1,39:24,8,17,.471,3,8,.375,3,5,.600,2,7,9,7,1,1,2,0,22,20.6,+7
76,62,2022-03-31,30-231,MIL,@,BRK,W (+1),1,30:02,4,12,.333,2,7,.286,6,6,1.000,0,9,9,4,2,1,4,4,16,11.8,-8
77,,2022-04-01,30-232,MIL,,LAC,L (-34),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
78,63,2022-04-03,30-234,MIL,,DAL,L (-6),1,36:52,3,14,.214,0,4,.000,5,6,.833,1,3,4,9,0,0,3,5,11,4.9,-6
79,64,2022-04-05,30-236,MIL,@,CHI,W (+21),1,27:30,8,17,.471,3,10,.300,0,0,,0,4,4,5,3,0,4,5,19,12.0,+18
80,65,2022-04-07,30-238,MIL,,BOS,W (+6),1,39:20,9,18,.500,3,8,.375,1,1,1.000,0,8,8,9,2,1,3,1,22,21.0,+10
81,66,2022-04-08,30-239,MIL,@,DET,W (+30),1,28:18,6,13,.462,3,7,.429,0,0,,0,1,1,1,2,0,0,1,15,10.9,+26
82,,2022-04-10,30-241,MIL,@,CLE,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
